,early_stop_epoch,name,test_acc,time_taken_one_epoch,train_err
10,36,q5_char_rnn_0.3,"[0.071428575, 0.071428575, 0.071428575, 0.071428575, 0.09857143, 0.15142857, 0.21714285, 0.24428572, 0.2742857, 0.30857143, 0.35142857, 0.31714284, 0.36857143, 0.35428572, 0.34, 0.4, 0.36285713, 0.34285715, 0.37714285, 0.3857143, 0.38142857, 0.39, 0.38857144, 0.37857142, 0.39714286, 0.40142858, 0.39571428, 0.40714285, 0.40285715, 0.42, 0.40428573, 0.39571428, 0.42142856, 0.39571428, 0.41, 0.40142858]",6895.633359750112,"[2.6798725, 2.6625786, 2.6560426, 2.6504683, 2.6376007, 2.4525402, 2.2798018, 2.1669443, 2.1081188, 2.0097883, 1.9657553, 1.9131454, 1.8575729, 1.8526758, 1.8065244, 1.7451156, 1.7298579, 1.7340715, 1.6798149, 1.6514727, 1.6513014, 1.6249679, 1.6188265, 1.5576842, 1.5435501, 1.5493838, 1.4725823, 1.4854623, 1.5038766, 1.4933037, 1.4559814, 1.580879, 1.4286484, 1.4127153, 1.3704252, 1.3825722]"
11,28,q5_word_rnn_0.3,"[0.07, 0.071428575, 0.07285714, 0.1, 0.2242857, 0.28857142, 0.36857143, 0.43857142, 0.3642857, 0.46285716, 0.48142856, 0.47285715, 0.51428574, 0.5114286, 0.54285717, 0.51428574, 0.54571426, 0.5285714, 0.53, 0.5342857, 0.52428573, 0.5271429, 0.5485714, 0.5371429, 0.5314286, 0.53571427, 0.55714285, 0.5657143]",7199.400007724762,"[2.6701121, 2.659682, 2.649423, 2.5943491, 2.151853, 1.6843681, 1.3870592, 1.082766, 1.1927414, 0.8075302, 0.7382486, 0.91125727, 0.64988387, 0.67239815, 0.59341997, 0.57916117, 0.5382904, 0.5620867, 0.52270156, 0.5726129, 0.50322115, 0.49429414, 0.4720939, 0.47134432, 0.46798962, 0.45630878, 0.46072197, 0.43939787]"
12,27,q5_char_cnn_0.5,"[0.19571428, 0.25428572, 0.3157143, 0.32857144, 0.3642857, 0.38428572, 0.40857142, 0.38285714, 0.38428572, 0.3942857, 0.38428572, 0.39714286, 0.39857143, 0.40857142, 0.39142856, 0.40285715, 0.42, 0.40857142, 0.41285715, 0.3857143, 0.41142857, 0.40857142, 0.41714287, 0.44, 0.41142857, 0.3942857, 0.38714287]",732.044431898329,"[2.448953, 2.157355, 1.9851981, 1.876156, 1.7703731, 1.6878514, 1.6274309, 1.5959609, 1.5610819, 1.5157384, 1.4689952, 1.4275557, 1.4356157, 1.4211156, 1.4234853, 1.3722093, 1.345364, 1.3800524, 1.3520209, 1.3151711, 1.3021979, 1.2849818, 1.3005558, 1.2739, 1.2634478, 1.2771744, 1.2502257]"
13,25,q5_word_cnn_0.5,"[0.43571427, 0.6528571, 0.75285715, 0.7885714, 0.81285715, 0.80142856, 0.8257143, 0.8, 0.8, 0.80714285, 0.8, 0.80714285, 0.81142855, 0.8214286, 0.8257143, 0.82, 0.8042857, 0.81714284, 0.7828571, 0.81142855, 0.82, 0.81285715, 0.82714283, 0.83285713, 0.81285715]",247.10396766662598,"[1.5548909, 0.83290064, 0.41283014, 0.3023899, 0.20219089, 0.17385824, 0.14634736, 0.12792441, 0.12655547, 0.09869167, 0.09922171, 0.08553048, 0.10875961, 0.11276492, 0.10868782, 0.09945044, 0.120697536, 0.09995092, 0.1104242, 0.12710407, 0.07884364, 0.09522203, 0.08742285, 0.08633977, 0.09764896]"
14,34,q5_char_rnn_0.5,"[0.071428575, 0.071428575, 0.071428575, 0.071428575, 0.108571425, 0.12428571, 0.23571429, 0.25, 0.28857142, 0.3157143, 0.33714285, 0.32428572, 0.34857142, 0.35, 0.34857142, 0.37142858, 0.38428572, 0.35, 0.3942857, 0.39857143, 0.38428572, 0.37428573, 0.37857142, 0.40428573, 0.40428573, 0.38285714, 0.39857143, 0.38857144, 0.41714287, 0.40285715, 0.39571428, 0.42142856, 0.42571428, 0.40571427]",7008.988219148972,"[2.6658685, 2.6569428, 2.652585, 2.6498182, 2.637658, 2.470296, 2.2525213, 2.1351078, 2.023518, 1.9110807, 1.8573498, 1.8211588, 1.7580246, 1.742407, 1.6825001, 1.6515384, 1.6343542, 1.6279591, 1.5614743, 1.5253353, 1.5020082, 1.4655485, 1.4372199, 1.4339163, 1.4246067, 1.4114138, 1.3662264, 1.3736495, 1.306145, 1.3005637, 1.2868061, 1.2826712, 1.2566081, 1.241532]"
15,31,q5_word_rnn_0.5,"[0.071428575, 0.13571429, 0.2957143, 0.6085714, 0.70714283, 0.73571426, 0.8, 0.76857144, 0.7871429, 0.82714283, 0.83285713, 0.8385714, 0.82857144, 0.83428574, 0.80142856, 0.83285713, 0.8542857, 0.8314286, 0.8485714, 0.85571426, 0.85, 0.8485714, 0.8528572, 0.87142855, 0.8585714, 0.8757143, 0.86142856, 0.8657143, 0.87714285, 0.8642857, 0.8657143]",7238.400067052534,"[2.6658804, 2.630247, 1.8859994, 1.3146573, 0.90671116, 0.6654992, 0.44078296, 0.4042404, 0.27575478, 0.23294784, 0.21822715, 0.21264055, 0.17293784, 0.15948018, 0.2884899, 0.1937413, 0.15393685, 0.1446857, 0.13047624, 0.14023168, 0.15837723, 0.1215466, 0.12092536, 0.10625341, 0.16105151, 0.14906535, 0.11656748, 0.10263324, 0.10110169, 0.10183134, 0.11428093]"
16,25,q5_char_cnn_0.7,"[0.2857143, 0.36285713, 0.39714286, 0.43714285, 0.4457143, 0.45714286, 0.45, 0.44714287, 0.45285714, 0.47285715, 0.46142858, 0.46714285, 0.47285715, 0.45857143, 0.47428572, 0.46857142, 0.47, 0.46285716, 0.46714285, 0.46, 0.45857143, 0.47142857, 0.46857142, 0.46857142, 0.46142858]",730.0800228118896,"[2.2746725, 1.8887335, 1.6842533, 1.5273169, 1.4177465, 1.3346814, 1.3126228, 1.2314713, 1.2096186, 1.1219392, 1.1218163, 1.0793222, 1.0537765, 1.0474983, 1.024341, 1.0236359, 0.99627763, 1.00093, 0.97433746, 0.9593661, 0.9131497, 0.91544694, 0.91526675, 0.89190936, 0.8849606]"
17,22,q5_word_cnn_0.7,"[0.49, 0.84, 0.8442857, 0.8457143, 0.87, 0.86142856, 0.87142855, 0.85, 0.8542857, 0.8485714, 0.86, 0.87285715, 0.8585714, 0.8257143, 0.82714283, 0.82, 0.8214286, 0.8442857, 0.8542857, 0.8485714, 0.85571426, 0.8585714]",250.30905550176448,"[1.3782709, 0.2808693, 0.14282222, 0.059730906, 0.064007394, 0.03511117, 0.029332029, 0.033179916, 0.02747189, 0.028442448, 0.03558051, 0.03745201, 0.04379648, 0.10135852, 0.08776063, 0.09827262, 0.07529739, 0.08025048, 0.048659764, 0.033916976, 0.042780764, 0.039980996]"
18,40,q5_char_rnn_0.7,"[0.071428575, 0.071428575, 0.071428575, 0.071428575, 0.071428575, 0.071428575, 0.071428575, 0.071428575, 0.071428575, 0.071428575, 0.10285714, 0.16714285, 0.24714285, 0.32428572, 0.34142858, 0.37428573, 0.40285715, 0.40571427, 0.40428573, 0.42, 0.42, 0.44, 0.4242857, 0.4242857, 0.43285716, 0.40714285, 0.42142856, 0.40857142, 0.42571428, 0.41285715, 0.43142858, 0.42142856, 0.42714286, 0.43857142, 0.40714285, 0.42571428, 0.42857143, 0.42857143, 0.4242857, 0.40857142]",6706.829994916916,"[2.6562996, 2.649539, 2.6522667, 2.6459475, 2.6457722, 2.6467454, 2.6448457, 2.642621, 2.6429305, 2.6406026, 2.6278923, 2.3922184, 2.2326396, 1.9712348, 1.8081192, 1.6959233, 1.6034281, 1.5365591, 1.4819033, 1.4257586, 1.4501146, 1.357107, 1.3276588, 1.2922194, 1.2711699, 1.2352766, 1.2224246, 1.2353133, 1.1670754, 1.1630865, 1.130081, 1.1084995, 1.1045287, 1.119357, 1.0548229, 1.0398917, 1.0469043, 1.0703795, 1.0287787, 1.047024]"
19,31,q5_word_rnn_0.7,"[0.071428575, 0.14428571, 0.22285715, 0.36, 0.62142855, 0.70857143, 0.76857144, 0.8528572, 0.81142855, 0.85714287, 0.8657143, 0.87285715, 0.8685714, 0.86714286, 0.87285715, 0.8742857, 0.86, 0.8585714, 0.8585714, 0.87, 0.8657143, 0.86142856, 0.87285715, 0.85714287, 0.87285715, 0.87857145, 0.8814286, 0.88, 0.88285714, 0.8814286, 0.88]",7330.993536979921,"[2.653956, 2.1654344, 1.7096621, 1.3631287, 0.88508415, 0.55118823, 0.40801257, 0.25126636, 0.23840316, 0.12826397, 0.09407318, 0.06964977, 0.0796715, 0.0721305, 0.054514956, 0.05188827, 0.043901525, 0.0647292, 0.042113863, 0.03686897, 0.030943023, 0.027111897, 0.029907716, 0.023663523, 0.01917597, 0.018912906, 0.017301882, 0.016810037, 0.019011626, 0.015933016, 0.013624028]"
